Algo,Demand pattern,T,Fixed ordering cost,Proportional ordering cost,Penalty cost,Distribution,Distribution type,Computing time,Cost,s,S,Orders,Inventory
BS,RAND,30,1500,0,10,normal,1,9232.144413,17607.17679481919,"[181.8  23.9 -50.9 -61.6 153.7 197.3 111.  150.6  96.  215.1 172.4 -23.2
 185.9 -18.9 167.   22.7 219.2 132.2  70.6  59.4 -36.1 -10.7 141.3 139.2
  85.8  34.2 209.3 226.3 161.6   7.4]","[ 240.55036584   81.84634162  600.81318755  901.38196606  904.41179939
  709.18461671  909.35227382  761.11769908 1019.45285805  885.82945961
  654.10381745  452.61855247  454.05402427  799.74990174  793.50087726
  613.17530109  569.34102451  354.77768957  221.54943469  148.26533528
  615.44609369  613.69077672  587.89502356  425.20878023 1073.66367991
  928.08914191  841.40509209  601.42740809  368.48842106  220.42063203]","[2.40550366e+02 2.47332835e+00 5.45713583e+00 5.64912736e-01
 8.92764693e+02 3.58763828e-03 1.57512855e+00 8.48465814e+00
 2.69590426e+02 5.95125939e+02 5.35487536e+00 8.65344819e-01
 3.38272837e+00 4.86857377e-01 1.51014913e+02 1.19655392e+02
 2.98044487e+02 1.52554827e+00 6.69402392e-01 7.13979417e+00
 3.31817515e+01 8.36912645e+01 4.59217170e+02 4.03565827e+00
 1.30584459e-01 1.01473706e+02 7.31862459e+02 2.08284189e-01
 9.98545028e-01 2.86928256e+00]","[ 81.5186113   16.98129411  12.44122599   9.00694594 698.74193643
 470.77509983 320.38542927 146.90652061 280.53147052 641.61607564
 442.97975962 442.84514565 232.21473543 224.70159345 193.66372242
 269.31089628 351.30038115 217.81986394 143.49526965  44.62202163
  70.8037768  123.48744279 414.69548712 256.71799689 102.82743986
 108.30653865 591.15211299 346.3200205  176.34490402  16.19851036]"
MCDP,RAND,30,500,0,10,normal,2,5.675113,10383.038166190614,"[142.26992383  48.28501291 -13.79243942 -40.52515179 174.71037739
 198.74333469 120.67575292 170.11127722  87.60090025 221.68618432
 166.6675963  -33.24607227 182.52857237 -19.41435802 163.30199128
  -1.24331041 192.92623137 111.87159185  59.92725711  86.05854114
 -12.80069716  -5.25411585 130.69722627 140.21680503 134.36722095
  53.14872987 207.61144556 225.5539606  161.74051267 106.01223858]","[272.97876091 102.98723145  16.97388611 267.46502819 574.16789036
 448.03595104 495.22970467 378.91686821 623.15871735 533.48202953
 476.1132946  282.18312759 472.65436249 273.43871307 282.87220764
 422.0497818  509.6724041  367.75566101 238.82659225 164.86165314
  46.73976135 249.1644207  559.55618734 435.52404289 296.1123848
 416.52126617 628.70912733 601.45140266 396.28800278 227.46217499]","[272.97876091   6.45464157   2.19557975   0.         531.40290756
   2.07125227 175.61206185 190.17475895  61.70792172 424.50879257
  17.89046429  23.64991379 283.38773573  21.87689401  54.75013021
  53.07257509 395.14024841  15.06697476  29.75657362  50.09322054
   6.58655637  14.67355607 500.44009229  26.72684495  16.42542207
 123.21713699 412.2895433  165.49251038 134.82632171  49.92518665]","[113.92583419  53.3623115   45.56174838  41.56281817 369.91541387
 144.02303627 167.68273745 175.90647699 101.66130537 292.10037728
 105.99724202 128.64718249 198.0073687  211.88398444  84.54857255
  93.60739186 272.65726277 152.71023541 107.47316684  51.54337696
  51.12970321  34.7907682  367.21114641 231.91298979  94.30093296
 121.52288174 284.77880721 205.2023776  169.06258213  55.95887745]"
MCDP,RAND,30,1000,0,10,normal,2,6.063311,14669.716937010313,"[134.06209009  33.20499859 -36.3063257  -64.16609445 142.98494362
 189.34872996 106.95566494 119.33834445  84.7545729  191.20206818
 143.19047066 -47.63325729 179.38793564 -21.06839336 122.39899679
 -15.27570161 176.64497856 107.64060052  58.98945875  70.53100145
 -38.33536347 -28.87622169 124.28111611 131.73978344 114.97973575
  18.37571262 185.23414524 218.95168349 157.13139678  52.78238456]","[288.2501152  103.49520264 258.96650658 567.07313719 805.42539597
 681.40724802 503.46147766 786.37373657 660.07267494 554.1031311
 630.03685999 476.58018608 497.9188879  278.44667015 545.11738892
 615.91301155 597.12886763 387.21922512 244.07986145 167.23743439
 239.79747505 613.24984417 610.40562229 458.0977375  554.09700241
 417.72562904 844.96097145 639.2187129  399.17321091 227.47248306]","[288.2501152    1.9597334    3.85815684   0.         722.71245196
  32.31865941   0.76882988 106.54183503 319.0432181  188.85848975
  30.39236662  34.50282614 294.12453067  19.98890166  65.38333383
  61.98381573 396.22993316  42.97632323  12.01874756  13.82909712
   9.42100275  19.3356911  482.27617067  62.29651805   5.68347263
  36.27500805 698.84703048  77.86046295   9.16136482  21.08176376]","[129.19718849  64.13875762  58.00077159  54.00184138 573.66398148
 378.01901102 226.83548023 151.42629585 334.51642061 289.30518971
 115.70395677 149.20680959 229.30379075 241.29241413 124.59020587
 142.56026581 322.69982147 230.66214257 167.68724794  75.49333463
  77.91410727  66.23730729 380.49376388 280.76528035 132.41127409
  72.69109393 522.50450658 355.29602954 193.49127718  51.54414961]"
MCDP,RAND,30,1500,0,10,normal,2,6.6159,17992.353963181944,"[127.63223312  18.08106604 -58.07343889 -80.70787657 135.46300418
 182.96395419  86.58047315 107.98749058  59.70627497 177.694571
 141.53502673 -47.9301594  160.83222966 -59.60561497 113.14461975
 -17.55917618 172.54199039 106.97503629  58.91856941  44.34910715
 -54.30453913 -29.79660949 123.45303101 126.92861432  74.83919365
   8.91456683 181.02124264 217.53125586 145.56664466   2.62000062]","[293.30151672 103.4737793  259.20066414 812.22889233 880.31182394
 725.77434464 526.42426758 845.58887482 878.68237581 812.29309158
 647.04979887 479.36060581 500.52492104 278.91373844 803.25594177
 641.52011948 615.3841959  390.20219555 244.38348389 167.34206657
 608.12661152 624.32747955 617.78334141 460.87718925 555.34408569
 931.73130608 870.29797726 645.54683914 399.1681881  227.4796463 ]","[2.93301517e+02 7.50540775e-01 1.11185140e+00 0.00000000e+00
 7.82219567e+02 4.58767475e+01 3.30910711e-02 2.37523687e+01
 2.41745813e+02 5.04790469e+02 3.55183528e+01 1.75695985e+00
 1.98012178e+01 1.05427668e+01 2.72078740e+02 1.25972573e+02
 2.57423122e+02 9.43108458e+00 4.02018511e+00 8.72320675e+00
 2.34968985e+01 4.05817777e+01 4.42036835e+02 6.80019819e+01
 3.59984296e+00 6.40029411e+01 7.31253861e+02 3.57060056e+01
 4.35125771e+00 7.64870539e+00]","[134.24859001  67.98096652  59.09667506  55.09774484 634.26699955
 452.18011718 300.26084758 142.06219689 247.8549163  518.57566511
 350.10041836 350.85740489 156.63107318 159.17356175 249.16675919
 331.12557654 372.45832122 246.87540368 175.9019466   78.60214293
  95.09881136 104.66809794 378.68521874 284.66219903 134.22456309
 102.23231595 584.45255933 375.08962493 208.47476546  53.09457952]"
BS,RAND,30,500,0,10,normal,2,5272.44812,11163.167506719,"[216.4  58.  -13.3 -32.2 194.5 220.1 138.8 188.4 122.4 269.  190.8 -13.7
 210.7  -7.8 185.5 229.  324.9 164.3  81.3  99.5 -16.4   0.6 159.3 165.9
 145.7  55.1 233.2 249.2 173.1 107.9]","[242.1117829   83.1117829   15.27945724 271.20648591 614.23025304
 714.46752507 497.94285798 361.01518268 598.7012876  665.22356579
 444.91213504 458.04033641 461.56443564 247.91667675 249.22961187
 612.78449663 571.16932435 357.75362704 225.36932792 153.80493135
 240.51764809 394.28487495 591.62413534 431.72437034 280.36365836
 423.75573887 847.73681313 612.49033714 385.55496159 249.05515305]","[2.42111783e+02 1.66068896e+01 2.72497260e+00 2.43371346e-03
 5.92829806e+02 4.78824116e-01 1.30519980e+02 1.86058523e+02
 1.22653402e+02 4.64556872e+02 2.33328007e+01 1.50626053e+01
 1.58981300e+02 2.48200572e+01 7.41480590e+01 5.37834601e+02
 4.18614466e+00 4.77435782e-01 6.45046679e+00 2.41897877e+01
 1.26431921e+01 3.44945568e+01 4.64113776e+02 3.88336749e+01
 2.00488267e+01 8.59046375e+01 6.29743187e+02 1.14027651e+02
 9.86929241e+00 4.01874164e+01]","[ 83.05885618  32.64758147  25.3764112   21.3799147  411.15940843
 183.67460268 162.24222166 166.34972489 153.05003328 383.5371842
 202.87638532 216.93901735 161.89276793 178.71254682  70.77506373
 564.59590911 352.69167627 218.15510993 149.61193454  67.77871179
  73.4216738   76.90373953 372.99780185 249.80647522 115.81782307
 105.7272724  486.43684164 355.39555305 194.29872828  71.45725335]"
BS,RAND,30,1000,0,10,normal,2,6996.772856,15494.7477033814,"[199.   40.1 -30.7 -45.1 173.4 220.1 139.3 179.6 122.4 307.9 182.3 -13.7
 207.3 -12.5 185.3 229.  324.9 164.3  81.3  85.3 -24.7  -1.8 159.3 154.5
 123.   44.4 233.2 249.2 173.1  54.5]","[242.1117829   83.1117829  258.70882478 605.40488096 906.12993908
 714.46752507 909.52794572 763.69490862 598.7012876  888.65968617
 658.3277287  458.04033641 461.56443564 247.91667675 792.33448573
 612.78449663 571.16932435 357.75362704 225.36932792 153.80493135
 614.23586053 614.62113347 591.62413534 431.72437034 550.16008557
 930.14838287 847.73681313 612.49033714 385.55496159 249.05515305]","[2.42111783e+02 1.27088613e+01 1.30677722e+01 2.10487859e-01
 8.48985103e+02 2.94699237e+01 2.63517264e-01 4.92393613e+01
 1.92315944e+02 4.52919252e+02 7.12320589e+01 2.82965803e+01
 9.00909213e+01 3.18246297e+00 2.01492704e+02 3.43246833e+02
 1.67618511e+01 1.85822012e+00 8.01141248e+00 2.10035337e+01
 3.23514096e+01 6.55308737e+01 4.48226349e+02 1.57847884e+01
 1.17541949e+01 1.89265221e+02 6.18281939e+02 1.59078915e+01
 1.17404669e+01 2.31339848e+01]","[ 83.05885618  28.74955319  31.82118251  28.03274015 673.96753131
 475.4738251  323.78498169 191.07332359 247.43617433 466.28570535
 333.52416468 360.8207717  236.88414352 232.06632821 251.47349016
 550.70656696 351.37804055 218.22225855 151.24002884  66.2205521
  91.5717316  126.09011417 406.29674909 260.05653587 117.77325186
 211.04328467 580.2916063  351.13055781 191.90490758  52.01000103]"
BS,RAND,30,1500,0,10,normal,2,8514.147686,19055.69550273805,"[182.7  23.4 -47.9 -45.8 173.4 219.4 140.1 179.6 140.3 307.9 182.3 -13.7
 194.2 127.9 185.3 229.  324.9 164.3  81.3  63.9 -24.7  -1.8 159.3 154.5
 102.5  44.4 233.2 249.2 173.1   4.5]","[ 242.1117829   308.58020286  602.73346132  899.66746909  906.12993908
  714.46752507  909.52794572  763.69490862 1021.27476941  888.65968617
  658.3277287   458.04033641  461.56443564  800.30789089  792.33448573
  612.78449663  571.16932435  357.75362704  225.36932792  712.5663718
  614.23586053  614.62113347  591.62413534  431.72437034 1072.84556147
  930.14838287  847.73681313  612.49033714  385.55496159  249.05515305]","[242.1117829   32.45019659  20.19810769  34.58981194 735.34070034
  72.64885106  10.86431525  57.43403809 387.40073138 388.04029119
  22.82898901   5.91963319  19.3601471  123.14071639 116.51169893
 304.35964098  21.88902852   2.32607705   8.32764433  87.26172145
  58.98472003  68.521751   347.95569677  16.2785673   17.21986951
 212.42429436 604.99310953   3.24872362  12.20647169   9.05851402]","[ 83.05885618  48.49088851  58.69285334  89.28373506 621.57412354
 466.25934473 325.17129931 200.65431799 452.10195603 606.07252656
 424.90791601 429.82757588 235.16017347 350.30061159 284.72676843
 545.07265362 350.87130464 218.18337956 151.51738171 132.75609273
 184.74058265 222.24984256 402.18582525 256.43939097 119.62178159
 236.05088774 592.01037944 350.19016307 191.43051758  37.46014028]"
MCDP,RAND,30,500,0,20,normal,0,4.508194,9104.528301893004,"[155.47605436  63.11887794  -0.73524271 -12.99948946 183.79835141
 212.69553069 134.95894891 175.84118435 112.42700139 225.81904667
 186.76726919 -13.53755001 200.0411125   -4.44283205 176.24500999
  24.49886906 198.27852332 124.02802592  67.72668593  98.60149859
  -3.97743391  16.89547137 146.61075395 149.30195657 142.70108182
  77.02427502 227.65942811 230.25924406 165.17628059 136.11713821]","[258.24200134  89.4549408   15.41375732 234.2011116  612.31447697
 414.47639122 499.03331184 348.76921406 611.35817213 478.10602283
 236.39352264 247.7509346  466.81462288 254.16772232 251.43230553
 288.62467175 574.70758095 362.42149658 229.03214722 154.44735336
 224.28710938 221.55837402 359.62489204 435.51295052 273.71062889
 377.9049736  538.21646338 613.97985687 365.35654373 190.77778702]","[2.58242001e+02 3.72151092e-01 3.72476015e-01 2.96927948e-03
 5.93339689e+02 4.77192004e-03 2.43903463e+01 2.94929980e+02
 1.05824043e+00 4.46354838e+02 4.05849439e-01 1.01247969e+01
 4.09025478e+02 4.09489152e-01 8.05561279e+00 2.30535361e+01
 5.05095852e+02 2.78101526e+01 0.00000000e+00 1.80752126e+00
 5.75938608e+00 4.15013473e+01 2.68798461e+02 9.10111801e+01
 1.89800920e+02 2.64750675e+00 5.09718583e+02 8.53743600e+00
 3.14850502e+02 8.84943159e-02]","[ 99.22612407  32.59295474  22.96682878  18.97020166 409.295039
 181.3145988   53.72254555 166.67074215  31.74624442 244.0804154
  40.49067054  49.615488   244.63439641 237.04388588  63.07310665
  42.12253406 331.19088511 223.99800494 149.0010066   44.80200676
  43.5613947   54.05894281 154.85284091  83.85744673 119.64779626
  26.29799918 287.00813968  50.52538855 194.3890602   31.4697164 ]"
MCDP,RAND,30,1000,0,20,normal,0,4.538631,13272.749402585603,"[155.06207572  53.83417033  -8.92443544 -26.14746586 170.67057729
 203.44700125 130.80190371 150.04163567 112.18424859 217.48617065
 174.34727239 -22.45179546 199.52969277  -4.48670097 157.41302818
  14.48052749 196.47726366 123.30815617  67.61653877  94.49914367
 -12.10165297   0.82873599 145.71200816 144.18176374 135.89372574
  61.64113462 216.10901271 230.00904019 165.1768654  110.79614384]","[260.1237587   89.45629883 239.84032555 234.18897171 798.26879845
 721.87131119 499.08185196 796.18434505 615.24032478 480.65557079
 667.8443759  467.51058006 471.75073128 255.15613098 252.17404556
 627.11499634 586.84374781 367.59638844 230.2995163  154.97019577
 224.28625488 630.20620079 604.69444885 437.87873669 530.86143045
 377.90981693 863.45947266 616.57423897 365.36473618 191.06091499]","[2.60123759e+02 5.80292156e-02 1.28583968e+00 0.00000000e+00
 7.73912050e+02 3.55064166e+00 0.00000000e+00 1.84711564e+01
 5.50596549e+02 1.22346584e+01 2.30662789e+00 1.34445437e+01
 4.15568981e+02 2.72326719e-04 1.65946781e-03 1.86295295e+01
 5.44567043e+02 0.00000000e+00 0.00000000e+00 4.43280952e-01
 1.24717145e+00 2.50844822e+01 5.58855839e+02 2.15990774e+00
 0.00000000e+00 5.74343920e+00 8.23018494e+02 1.02722524e+01
 0.00000000e+00 1.11768920e+00]","[101.10788142  34.16059022  25.44782793  21.44823153 592.34542984
 367.91085939 215.92845984  52.41783284 467.03164394 245.24563555
  43.55666913  56.00123346 257.56364509 249.56391774  67.53918519
  42.16460599 370.70414793 235.70111519 160.70411686  55.14087671
  49.38805002  43.46873299 434.32000909 274.47334258 120.46277183
  30.20890721 604.21895887 369.47102417 198.48419342  36.59404451]"
MCDP,RAND,30,1500,0,20,normal,0,6.58609,16666.711959270226,"[150.92766159  48.32017372 -19.49581543 -34.6851922  166.6453791
 202.95812631 114.84903737 150.04176669 102.24232711 199.62429662
 174.33712759 -22.45276749 192.90079226 -21.8072568  149.41502743
  14.41941769 196.33509188 123.30618853  67.61624372  81.42033499
 -24.47961505   0.75867521 145.61529149 144.03307097 119.34057986
  52.42068989 215.98465504 229.99265211 165.17501918  85.79130222]","[260.53951187 303.87185669 239.83330536 616.12861328 922.80298462
 726.88455849 500.16953125 796.19297733 615.24424801 897.38594685
 668.0017725  467.5306179  471.76808968 255.15603409 810.97579203
 628.32761564 587.734795   367.63235321 230.29977837 154.97019577
 634.04740295 631.77006588 605.79954185 438.14006615 530.86228809
 954.40686493 864.86772766 616.77583475 365.36244507 190.75925789]","[2.60539512e+02 1.05487676e-01 1.54992031e-01 0.00000000e+00
 9.01326857e+02 7.01648827e-01 0.00000000e+00 0.00000000e+00
 3.98505343e+01 8.04249943e+02 1.66847708e-01 1.01534636e+00
 3.12233957e+01 0.00000000e+00 6.60836273e+00 9.50524473e+01
 4.74214559e+02 0.00000000e+00 0.00000000e+00 1.22833081e-01
 1.17847408e+00 2.97346858e+01 5.57359904e+02 8.78427630e-04
 0.00000000e+00 6.19682244e+00 8.33095895e+02 0.00000000e+00
 0.00000000e+00 2.00647600e-01]","[101.5236346   34.62380185  24.78019191  20.78059551 719.09260163
 491.80903834 339.82663879 157.84485539  61.71265155 631.94192738
 428.11318078 428.12854775 245.3453742  237.34537452  61.92734523
 112.97568385 371.16274153 236.15970879 161.16271045  55.27902244
  49.45749837  48.18838488 437.5437259  275.53803008 121.52745934
  31.72697795 615.81443112 370.79424398 199.80741323  37.00022272]"
BS,RAND,30,500,0,20,normal,0,1353.990857,9291.945260176546,"[172.6  67.3  -0.7 -12.5 188.3 215.5 138.6 180.5 117.2 231.4 194.4 -11.4
 211.3  -1.  177.5  26.8 209.8 130.8  71.1 103.6  -3.8  16.9 152.  154.
 144.4  77.2 231.7 234.5 166.7 137. ]","[240.42753081  81.42804541  14.70588742 242.85022931 599.2461708
 406.84348994 484.53604756 342.0178595  595.80407134 459.80407487
 441.87289836 237.87289836 452.70283892 238.70283892 233.77048396
 409.42916486 572.22891652 356.22891652 222.31336378 147.31336378
 223.95629404 228.66912056 590.26073945 422.26073945 266.95378318
 388.97387511 537.26746748 596.42188053 362.78611102 191.78611102]","[2.40427531e+02 4.28639604e+00 8.97109044e-01 4.19353318e-02
 5.93553485e+02 6.07683624e-02 5.99334333e+01 2.64248793e+02
 1.02098414e+01 4.27111414e+02 2.33700214e+01 2.19660396e+01
 3.51310283e+02 5.88683187e+00 3.01422148e+01 7.63034417e+01
 4.50804379e+02 9.16631067e+00 3.03245243e+01 2.80359413e+00
 4.10921686e+00 4.26195171e+01 4.56354169e+02 8.23940153e+01
 0.00000000e+00 4.50618718e+01 4.48153986e+02 8.14191927e+01
 2.70178983e+02 8.20661214e-01]","[ 81.41165354  18.69272916   9.59123623   5.63357516 396.17220936
 168.2477656   76.1987993  158.46580892  32.69291221 225.78365957
  45.15808663  66.12414679 203.42786092 201.31469311  49.43051592
  81.72984893 316.50672654 190.67000447 145.99753043  42.79460346
  39.90382218  51.51954004 339.86914588 260.25658689 106.24601614
  55.31058416 254.45612802  90.85513359 190.04728537  27.86010847]"
BS,RAND,30,1000,0,20,normal,0,1249.343342,13588.345207644654,"[172.6  57.2  -8.5 -22.6 175.7 210.1 135.6 159.9 117.2 223.9 186.5 -14.6
 211.3  -1.  163.2  24.8 209.8 130.8  71.1  98.3 -11.6   7.5 152.  148.2
 136.8  62.2 226.  234.5 166.7 111.6]","[240.42753081  81.42753081 238.69718864 459.3692562  784.45265188
 712.53604756 484.53604756 770.22302899 595.80407134 459.80407134
 656.06771214 452.06771214 452.70283892 238.70283892 797.34524235
 615.34524235 572.22891652 356.22891652 222.31336378 147.31336378
 223.95629404 617.69319011 590.26073945 422.26073945 525.61379296
 388.97387511 845.42188053 596.42188053 362.78611102 191.78611102]","[240.42753081   1.99221903   9.96714857   0.         749.89617802
  27.38479179   0.          67.05743548 486.05426333  17.19273265
  39.44811339  42.20898567 350.79443999   0.           1.19160864
 122.58776637 443.85889532   0.           0.           2.19816532
   2.7758931   86.27274079 491.8572641    4.65170578   0.
  20.17389446 782.61223487  32.89158917   0.           3.52599165]","[ 81.41165354  16.39855214  16.36709874  12.36750234 559.2488291
 358.64840877 206.66600922  91.7416613  441.81318647 224.98525231
  60.43777139 101.64677767 238.43464837 230.43464869  49.59986531
 128.18352302 356.01491714 221.01188439 146.01488606  42.20653028
  37.98242524  93.25136679 417.10406808 259.74919961 105.73862887
  29.9152195  563.51901209 351.39041412 180.40358337  20.92173691]"
BS,RAND,30,1500,0,20,normal,0,4425.595625,16958.912306292386,"[161.7  50.3 -18.7 -27.3 174.9 210.1 123.  159.9 109.2 215.5 186.5 -14.6
 201.2 -17.3 163.2  24.8 209.8 130.8  71.1  85.  -17.2   7.5 152.  148.2
 120.2  61.6 226.  234.5 166.7  86.5]","[240.42753081 305.69718864 607.59755101 603.2461708  910.48201933
 712.53604756 922.22302899 770.22302899 595.80407134 888.90937623
 656.06771214 452.06771214 452.70283892 238.70283892 797.34524235
 616.16134264 572.22891652 356.22891652 222.31336378 147.31336378
 624.69319011 617.69319011 590.26073945 422.26073945 525.61379296
 935.36447905 845.42188053 596.42188053 362.78611102 191.78611102]","[2.40427531e+02 6.62232138e+00 6.67827581e+00 2.68640815e+00
 8.72030176e+02 1.74985797e+01 1.05780164e+00 1.02029283e+01
 8.59523507e+01 7.07533543e+02 7.27875643e+00 7.71568215e+00
 6.46595741e+01 0.00000000e+00 2.29815822e+01 1.55099989e+02
 3.91765054e+02 0.00000000e+00 0.00000000e+00 8.40944669e-01
 9.06606293e+00 1.00657735e+02 4.76934218e+02 8.67215141e-04
 0.00000000e+00 5.13548607e+01 7.84100893e+02 0.00000000e+00
 0.00000000e+00 9.85672826e-01]","[ 81.41165354  21.0286545   17.70832834  16.3951401  685.41046531
 474.9238329  323.99923498 152.22037993 102.18999245 575.70286879
 378.98603091 385.70173367 236.35473847 228.35473878  69.309929
 180.40580965 356.14336213 221.14032939 146.14333105  40.97775463
  43.04381941 112.69775498 421.62741051 259.62170348 105.61113273
  60.96868959 596.06113984 351.0409527  180.05412195  18.03195667]"
MCDP,RAND,30,500,0,20,normal,1,5.227944,10078.775669577632,"[161.01611144  60.8662869   -0.86961218 -15.70274169 193.7192269
 223.05075675 139.72662981 187.27270075 114.10716653 237.90025399
 190.34361836 -14.98405216 204.96255442  -5.32311899 183.61367652
  22.14894432 208.41225179 129.06919199  70.44686596 100.62873998
  -4.00414818  14.21729283 153.16446672 156.13887875 150.61267341
  76.56554995 236.4908594  243.61779272 175.23177899 138.38080333]","[271.42621765  99.14955902  16.82006836 261.39984188 602.25684271
 438.76106644 515.88339348 375.71385155 634.11969795 511.74041576
 265.55456448 271.37258492 482.99972363 267.39462204 272.51558704
 440.47701645 561.76734219 371.68283806 237.30482254 164.19714317
  46.33959961 244.16251488 583.01573458 445.42147331 294.72478848
 410.84971981 587.67750664 631.40545063 394.35952778 218.90345459]","[2.71426218e+02 2.72312762e+00 1.20072589e+00 8.05091668e-03
 5.66926701e+02 1.35044676e-02 1.25345361e+02 2.26345178e+02
 2.18800884e+01 4.36237870e+02 3.13297162e+00 1.80851802e+01
 3.72969129e+02 3.02899936e+00 1.78436823e+01 5.35698764e+01
 4.48711373e+02 4.32981355e+00 1.46853119e+01 2.59354847e+01
 3.62949658e+00 3.18302722e+01 4.81507493e+02 5.38297374e+01
 1.99750394e+00 1.11189500e+02 3.85091541e+02 1.78719225e+02
 1.86141252e+02 1.89604643e+01]","[112.3944631   48.10694519  39.31046713  35.31932525 399.21632328
 171.25940351 144.63996553 189.02157716  74.93618922 277.13272543
  76.27450567  93.35972711 252.31571733 247.34471733  83.13561555
  92.69727369 325.35364439 194.67739246 134.36870773  54.29115021
  50.92065051  51.74332425 365.24169151 257.05828042 105.03464287
 120.22953525 256.30419164 189.98303963 205.15062972  61.09541781]"
MCDP,RAND,30,1000,0,20,normal,1,5.37035,14362.03420389126,"[157.39789753  51.83449345 -10.89283119 -28.73372919 175.72745976
 214.25873723 134.47229697 152.78160669 113.27743095 224.24512466
 173.43857185 -23.40975168 203.72432355  -5.56868411 158.62978763
  13.76652095 202.48152457 127.05771933  69.82533983  92.27042962
 -14.23491532   0.44605115 150.17628885 150.08277808 139.61020365
  59.61308047 221.38594034 241.45395626 175.0086758  109.23498215]","[279.96709518  99.64385071 262.68853626 261.4099247  852.10232019
 702.07875795 516.76746178 817.45369205 648.14442215 517.52121201
 674.7470417  484.23631668 493.52864952 273.40786915 277.08941383
 633.74934282 600.57075033 383.1936594  242.31107483 166.12084351
 242.60130959 631.66780815 616.45089798 458.67605247 561.63794479
 410.85287075 880.29837627 648.97066269 396.72079887 219.48956909]","[2.79967095e+02 8.89508829e-01 4.99554149e+00 0.00000000e+00
 7.95576206e+02 1.16495278e+01 7.65258962e-04 2.99942006e+01
 3.50190065e+02 1.81166334e+02 1.18906182e+01 2.72864255e+01
 3.72209500e+02 2.61233848e+00 4.78446721e+00 5.62637578e+01
 4.97101060e+02 1.07257612e+00 4.84508037e-02 6.12326407e+00
 7.37841217e+00 3.83877877e+01 5.14730564e+02 1.97633249e+01
 3.90234637e-01 3.61489349e+01 7.52610104e+02 5.69112742e+01
 2.98956323e-01 1.14187102e+01]","[120.93534064  54.81420393  49.81254147  45.81334868 638.35985165
 422.03895517 270.07492133 118.1055551  332.33014331 279.45514309
  87.35456987 113.64103658 271.83739757 266.44973669  89.18141986
 101.43695944 382.4830175  248.54952814 173.60398226  73.71420414
  74.09262002  81.47280926 428.19424809 285.94442445 132.3135176
  72.46784483 576.06106402 387.93196156 217.25725638  65.66029033]"
MCDP,RAND,30,1500,0,20,normal,1,5.792348,17780.098541573185,"[ 1.55046301e+02  4.46371176e+01 -2.18542079e+01 -4.03894193e+01
  1.71724949e+02  2.11094101e+02  1.17824990e+02  1.52874216e+02
  9.91134841e+01  2.06266935e+02  1.73041498e+02 -2.34412885e+01
  1.93014258e+02 -2.32205910e+01  1.50677240e+02  1.32178416e+01
  2.00835048e+02  1.26782928e+02  6.98027352e+01  7.73486940e+01
 -2.47486719e+01  3.78660728e-02  1.49497138e+02  1.48239896e+02
  1.19921724e+02  5.08739567e+01  2.19887604e+02  2.40914203e+02
  1.74783883e+02  8.36406222e+01]","[283.20241737  99.64654236 262.69375324 638.06680717 909.50898056
 738.55235138 525.86267395 823.9153985  652.50348196 886.0039444
 679.00396214 484.97497444 494.0848505  273.59417782 821.84961023
 645.16470175 609.43375549 384.58470516 242.48284264 166.17679138
 635.09294415 641.03538952 623.0739109  461.24624691 561.78736925
 973.00538197 894.20744267 652.96244822 396.7282383  218.66154099]","[2.83202417e+02 4.01981520e-01 1.89118592e+00 0.00000000e+00
 8.59707186e+02 4.55533766e+00 0.00000000e+00 3.71089994e+00
 1.62631880e+02 6.03214157e+02 8.78899060e+00 7.49268239e+00
 1.01069612e+02 1.14532644e+00 9.00113275e+01 1.13580641e+02
 3.90326591e+02 2.53391844e+00 1.04595151e-01 3.47463315e+00
 1.42222063e+01 4.83694354e+01 5.06817405e+02 1.25895487e+01
 7.00707473e-02 5.69200892e+01 7.93581217e+02 9.22463154e-01
 1.72733627e-01 5.15060846e+00]","[124.17066283  57.56199881  49.45598078  45.45678799 702.13427102
 478.71918444 326.75438533 148.50171846 175.16812261 544.34094613
 349.13874535 355.63146895 242.68794207 235.83326914 143.79181258
 213.36423495 387.63582389 255.16367685 180.27427532  77.73586628
  84.95807633 102.31991326 441.12819308 291.70459326 137.75352252
  98.67900408 643.24333662 399.1254231  228.32449522  70.45942746]"
